GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1947.48,4609.88,5606.86,591.97,324.12,-16.48,-4053.68,-39378.79,1763.89,26368.99,-8628.25,259.7,-2235.76,-8368.55,-10604.31
3,1979.82,4673.95,5584.2,588.9,313.53,-41.31,-4019.04,-38914.55,1775.91,26290.63,-8932.42,265.27,-1767.96,-8667.15,-10435.11
5,1949.8,4713.28,5547.99,600.12,306.78,-19.29,-3998.14,-39186.37,1745.73,26336.13,-8760.15,266.47,-2003.96,-8493.68,-10497.64
7,1961.71,4714.78,5584.43,592.11,323.86,-33.9,-3978.42,-39139.5,1774.59,26429.0,-8863.08,263.48,-1771.33,-8599.6,-10370.93
9,2034.54,4648.24,5592.46,581.28,325.2,-63.66,-3987.63,-39231.82,1729.62,26431.95,-8740.36,269.99,-1939.82,-8470.37,-10410.19
11,2000.59,4552.24,5537.42,566.57,324.99,-22.16,-4021.89,-39283.99,1771.1,26553.46,-8770.84,263.19,-2021.68,-8507.66,-10529.34
13,1978.74,4675.37,5500.21,598.19,324.66,-3.75,-3992.87,-39032.18,1769.5,26485.87,-8988.06,270.63,-1696.25,-8717.43,-10413.69
15,1992.57,4517.18,5545.12,564.76,348.72,-8.45,-3993.67,-38988.97,1743.51,26499.54,-9027.18,267.58,-1779.7,-8759.61,-10539.31
17,1915.9,4618.53,5523.92,584.93,312.23,-41.16,-4048.22,-38966.71,1772.82,26496.1,-8991.38,267.98,-1831.66,-8723.4,-10555.06
19,2013.95,4639.23,5533.29,589.27,330.77,-58.67,-3937.26,-38905.92,1739.34,26430.09,-9095.81,269.11,-1625.92,-8826.7,-10452.62
21,1976.83,4649.63,5504.65,594.28,323.16,-45.21,-3967.99,-38473.25,1763.47,26354.0,-9452.42,277.78,-1320.43,-9174.64,-10495.07
23,2042.82,4701.76,5571.64,587.04,313.86,-37.95,-3997.16,-38595.6,1743.95,26354.24,-9269.22,267.67,-1315.38,-9001.55,-10316.94
25,1951.76,4680.23,5517.43,577.92,327.49,-15.06,-3980.22,-38929.84,1774.62,26383.09,-9054.24,271.4,-1712.58,-8782.84,-10495.42
27,1887.63,4718.51,5526.05,591.53,317.26,-58.12,-4023.66,-38604.35,1774.78,26524.01,-9408.3,272.55,-1346.36,-9135.75,-10482.11
29,1941.1,4569.26,5542.4,581.55,312.62,-48.68,-4005.87,-38867.38,1786.4,26451.19,-9141.57,273.92,-1737.42,-8867.64,-10605.06
