GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1877.78,4706.61,5574.63,584.1,328.37,-15.78,-4063.71,-38956.96,1773.44,26456.56,-8978.02,258.46,-1734.96,-8719.56,-10454.52
3,1966.85,4522.79,5556.63,575.08,301.06,-24.09,-3966.83,-38965.43,1807.93,26543.19,-9022.22,265.59,-1682.82,-8756.63,-10439.44
5,1953.7,4681.73,5547.71,600.66,302.17,-5.82,-3998.79,-38644.02,1742.97,26543.83,-9352.22,271.92,-1275.84,-9080.3,-10356.14
7,1979.85,4615.0,5509.58,581.88,336.42,-6.43,-4011.67,-38403.25,1740.62,26443.3,-9456.95,275.61,-1214.72,-9181.34,-10396.06
9,2033.63,4659.52,5531.27,570.72,311.89,-24.9,-3986.29,-38146.17,1753.13,26459.04,-9732.82,274.5,-838.15,-9458.32,-10296.47
11,2027.35,4712.44,5547.53,601.88,324.02,-47.38,-3985.94,-38397.25,1811.19,26374.42,-9521.89,276.47,-1031.75,-9245.42,-10277.16
13,1985.0,4660.1,5545.28,593.73,335.96,-32.71,-4050.91,-38342.92,1775.79,26488.63,-9549.6,272.37,-1042.05,-9277.23,-10319.28
15,1918.1,4715.31,5486.48,573.16,316.36,-53.51,-4036.0,-38495.13,1745.51,26511.43,-9465.37,273.56,-1318.29,-9191.81,-10510.1
17,2012.83,4769.5,5526.89,595.69,341.13,-14.75,-4007.49,-38555.21,1782.04,26392.25,-9336.51,276.41,-1157.12,-9060.1,-10217.22
19,1965.78,4628.96,5576.31,576.37,320.91,-17.56,-3982.06,-38463.35,1771.63,26618.4,-9608.25,276.29,-1004.61,-9331.96,-10336.57
21,1909.19,4572.92,5504.26,578.1,312.96,-25.29,-4010.54,-38790.97,1776.26,26580.67,-9231.5,272.16,-1592.44,-8959.34,-10551.77
23,2021.96,4592.55,5557.15,584.47,325.42,-42.32,-4005.89,-38738.36,1770.42,26605.0,-9284.87,270.99,-1329.58,-9013.87,-10343.46
25,1915.64,4545.16,5490.17,555.71,314.25,-29.52,-4070.73,-38619.47,1751.12,26633.91,-9354.26,270.86,-1513.76,-9083.4,-10597.16
27,1933.61,4571.13,5506.44,573.62,318.26,-30.51,-4029.78,-38622.78,1760.16,26502.29,-9314.66,271.86,-1517.56,-9042.79,-10560.35
29,1935.1,4660.11,5496.78,576.64,314.67,-37.01,-4062.92,-38656.86,1787.44,26648.14,-9322.26,270.45,-1337.9,-9051.81,-10389.71
31,2088.75,4691.27,5507.0,589.34,320.97,-33.81,-3997.29,-38773.88,1759.36,26517.15,-9216.91,271.91,-1331.14,-8945.0,-10276.14
33,1933.05,4655.14,5525.82,583.43,324.42,-46.44,-3972.05,-38816.24,1793.94,26571.18,-9227.45,274.04,-1447.76,-8953.41,-10401.17
35,1950.22,4653.5,5540.79,567.02,305.8,-52.01,-4037.55,-38839.97,1767.58,26576.63,-9170.43,271.24,-1568.0,-8899.19,-10467.18
