GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1967.48,4809.01,5637.3,610.23,321.78,-19.34,-4035.14,-39738.23,1899.68,27052.72,-8982.85,256.31,-1494.51,-8726.54,-10221.05
3,1903.43,4757.24,5677.98,587.95,329.01,-39.07,-4047.23,-39250.02,1840.62,27131.63,-9412.41,269.96,-1108.46,-9142.45,-10250.91
5,1922.81,4685.98,5602.2,602.74,310.83,-36.52,-4039.84,-39349.83,1814.82,26981.41,-9324.4,264.36,-1505.4,-9060.04,-10565.44
7,1911.62,4600.43,5635.1,587.86,322.39,-41.82,-4102.26,-39442.73,1820.71,26994.61,-9233.45,263.94,-1714.09,-8969.51,-10683.59
9,1922.45,4647.75,5608.68,588.22,314.49,-44.92,-4050.32,-39248.95,1838.55,27084.85,-9425.72,270.29,-1339.21,-9155.44,-10494.65
11,1937.83,4807.24,5596.48,603.35,301.95,-25.71,-4034.45,-39157.89,1823.43,26944.74,-9442.22,271.36,-1203.02,-9170.86,-10373.88
13,1907.38,4618.76,5613.42,575.58,314.27,-29.57,-4118.8,-39379.05,1781.13,27111.86,-9330.44,266.39,-1605.01,-9064.06,-10669.07
15,1926.95,4710.8,5626.99,584.61,343.32,-43.2,-4035.21,-39356.86,1848.33,26920.24,-9278.13,270.09,-1474.02,-9008.03,-10482.06
17,1993.4,4808.71,5572.81,591.54,301.6,-12.62,-4014.21,-39267.47,1819.68,26977.64,-9349.7,267.98,-1228.93,-9081.72,-10310.65
19,1931.87,4783.38,5625.88,587.18,303.4,-27.57,-4047.4,-38996.26,1828.31,27059.5,-9689.37,267.3,-951.71,-9422.06,-10373.78
21,1991.53,4773.44,5568.45,600.36,308.68,-37.44,-4029.5,-39300.68,1779.94,27039.62,-9385.16,269.76,-1305.6,-9115.4,-10421.0
23,1937.8,4665.19,5601.84,591.65,308.62,-40.16,-4066.15,-38964.15,1836.75,27059.15,-9671.42,270.3,-1069.45,-9401.12,-10470.58
25,1934.58,4801.92,5585.76,600.6,330.03,-54.38,-4082.28,-38847.2,1784.29,26950.89,-9694.57,270.85,-995.8,-9423.72,-10419.52
27,1959.19,4745.92,5583.15,609.35,311.42,-65.7,-4036.49,-39234.63,1821.47,27038.21,-9463.52,268.76,-1268.13,-9194.77,-10462.9
29,1983.97,4772.99,5616.51,610.28,324.44,-45.96,-4018.41,-39055.58,1829.52,27091.69,-9641.57,271.04,-890.56,-9370.53,-10261.08
31,1949.96,4725.99,5579.09,575.73,313.65,-43.53,-3995.43,-39541.56,1866.29,27133.16,-9275.56,270.24,-1436.65,-9005.32,-10441.97
33,1911.47,4734.42,5602.03,594.83,334.16,-33.34,-4057.17,-39302.01,1808.27,26985.45,-9376.08,266.23,-1421.9,-9109.85,-10531.74
35,1945.99,4711.63,5558.53,586.16,323.99,-45.92,-4028.04,-39218.17,1791.86,26962.17,-9411.75,267.38,-1411.82,-9144.37,-10556.19
37,1912.5,4664.77,5550.85,579.14,310.23,-63.37,-4071.64,-39285.9,1790.33,26991.64,-9265.22,261.63,-1621.45,-9003.59,-10625.04
39,1953.18,4719.79,5547.06,602.15,348.1,-13.96,-4053.57,-39321.66,1816.31,27091.29,-9322.02,261.68,-1311.31,-9060.34,-10371.65
41,1968.81,4702.05,5555.35,595.79,322.27,-10.76,-4045.38,-39196.88,1772.51,27038.25,-9515.45,268.81,-1298.01,-9246.64,-10544.65
43,1924.02,4680.56,5564.7,579.28,308.74,-19.17,-4044.82,-39403.69,1803.2,27133.0,-9349.3,266.61,-1474.18,-9082.69,-10556.87
45,1941.63,4621.74,5614.07,567.77,313.74,-65.39,-4055.87,-39016.36,1818.04,27061.69,-9627.24,269.25,-1198.93,-9357.99,-10556.92
47,1919.78,4743.95,5564.67,583.62,330.57,-61.94,-4058.43,-39143.59,1798.94,27036.91,-9517.06,267.46,-1285.52,-9249.6,-10535.12
49,1950.19,4686.61,5669.06,579.22,326.75,-16.82,-4023.65,-38946.83,1808.58,27092.5,-9804.56,269.6,-874.4,-9534.96,-10409.35
51,1923.48,4676.35,5598.85,582.03,305.48,-57.33,-4076.58,-39004.87,1809.23,27061.29,-9716.57,267.45,-1182.07,-9449.13,-10631.19
53,1919.85,4787.48,5608.16,602.51,325.48,-35.39,-4013.42,-39105.42,1830.09,27157.48,-9612.41,271.35,-923.19,-9341.06,-10264.24
