GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1953.96,4602.39,5590.51,573.11,302.7,-19.12,-3978.04,-39087.9,1750.35,26531.9,-8987.99,261.86,-1780.13,-8726.13,-10506.26
3,1909.44,4646.91,5593.93,593.32,349.88,-31.76,-4004.47,-38998.35,1786.44,26468.28,-8954.12,264.34,-1686.38,-8689.78,-10376.16
5,1910.79,4617.92,5583.55,583.28,321.11,-20.69,-3968.98,-39067.17,1741.37,26645.45,-9016.46,264.61,-1653.38,-8751.86,-10405.24
7,1961.12,4680.51,5577.8,577.44,306.82,-24.63,-3980.38,-39017.67,1740.14,26527.91,-8985.27,268.46,-1650.95,-8716.81,-10367.76
9,1888.41,4721.23,5501.06,589.78,293.83,-23.64,-3968.79,-38933.01,1701.01,26642.49,-9131.57,270.1,-1587.61,-8861.48,-10449.09
11,1883.25,4652.08,5556.09,576.44,301.74,-31.31,-3952.23,-39105.89,1757.05,26578.09,-8954.7,270.13,-1784.71,-8684.57,-10469.28
13,1841.77,4560.42,5553.4,573.71,300.72,-24.44,-3954.55,-38947.17,1760.31,26601.81,-9073.03,270.63,-1734.02,-8802.4,-10536.42
15,1917.88,4607.31,5530.13,565.24,323.75,-35.99,-3928.11,-39184.02,1746.95,26569.68,-8952.67,267.77,-1887.19,-8684.9,-10572.08
17,1893.92,4533.68,5599.23,561.49,318.27,-65.68,-3963.86,-39111.12,1756.51,26697.44,-9015.67,269.5,-1780.11,-8746.17,-10526.28
19,1895.64,4668.26,5555.6,572.54,307.26,-34.31,-3960.74,-39110.7,1726.6,26567.55,-8968.01,269.53,-1812.3,-8698.48,-10510.78
21,1936.77,4740.78,5558.62,604.74,323.46,-45.85,-3928.02,-38991.99,1744.65,26589.72,-9049.36,271.41,-1467.13,-8777.94,-10245.08
23,1999.01,4620.24,5549.73,585.79,303.06,-50.46,-4014.06,-38738.13,1755.37,26478.44,-9210.36,270.84,-1511.0,-8939.51,-10450.51
25,1919.86,4808.18,5575.76,600.13,317.74,-40.73,-3946.2,-39040.88,1751.37,26524.39,-9005.96,270.29,-1530.38,-8735.67,-10266.05
27,1933.31,4539.5,5516.77,561.92,291.32,-46.24,-4005.82,-38770.15,1780.07,26694.91,-9312.78,270.89,-1504.4,-9041.89,-10546.29
